Year,Retractions,Total publications,Normalise,,Retractions (SU=life* AND DOCUMENT TYPES: (Retracted Publication OR Retraction) ,Total publications (SU=life* AND PY=YEAR),Normalise retractions per year =(10000/Total Pubs)*Retracted pubs,,Web of Science (5 May 2021)
1990,0,8233,0,,,,,,
1991,0,15047,0,,,,,,
1992,0,17027,0,,,,,,
1993,1,13080,0.764525994,,,,,,
1994,0,13650,0,,,,,,
1995,0,13031,0,,,,,,
1996,0,14170,0,,,,,,
1997,1,14463,0.691419484,,,,,,
1998,0,14920,0,,,,,,
1999,0,15097,0,,,,,,
2000,0,15154,0,,,,,,
2001,0,14159,0,,,,,,
2002,1,14249,0.701803635,,,,,,
2003,3,15850,1.892744479,,,,,,
2004,3,16497,1.818512457,,,,,,
2005,3,16564,1.811156725,,,,,,
2006,8,16202,4.937662017,,,,,,
2007,8,16666,4.800192008,,,,,,
2008,6,19634,3.055923398,,,,,,
2009,3,17132,1.751109036,,,,,,
2010,2,18398,1.087074682,,,,,,
2011,3,19582,1.532019201,,,,,,
2012,2,21221,0.942462655,,,,,,
2013,7,21430,3.266448903,,,,,,
2014,3,19641,1.527417138,,,,,,
2015,6,21895,2.740351678,,,,,,
2016,12,22418,5.352841467,,,,,,
2017,6,24979,2.402017695,,,,,,
2018,14,24060,5.818786367,,,,,,
2019,15,25470,5.889281508,,,,,,
2020,25,29036,8.610001378,,,,,,
